username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jaymukherji;2015-12-02 00:56;4;0;"@PoojaMissra #chennairains #Chennai Army Helpline 9840295100 #PrayforChennai #ChennaiFloods";;@PoojaMissra;#chennairains #Chennai #PrayforChennai #ChennaiFloods;"671772250736062468";https://twitter.com/jaymukherji/status/671772250736062468
VeeramAFMADURAI;2015-12-02 00:55;0;0;"பாதுகாப்பான இடத்தில் உள்ள கோவில்... பள்ளிவாசல்... சர்ச்.. போன்றவற்றை திறந்து மக்களுக்கு உதவலாமே.... #ChennaiFloods #cuddalorerains";;;#ChennaiFloods #cuddalorerains;"671772245354672128";https://twitter.com/VeeramAFMADURAI/status/671772245354672128
dirPugazh;2015-12-02 00:55;0;0;"#Madras #Humanity #WeWillGetThroughThis #ChennaiFloods #StayStrong #Chennai";;;#Madras #Humanity #WeWillGetThroughThis #ChennaiFloods #StayStrong #Chennai;"671772217991020545";https://twitter.com/dirPugazh/status/671772217991020545
rafa_rkx;2015-12-02 00:55;0;0;"#chennairains #ChennaiFloods guys very careful https:// twitter.com/dhanyarajendra n/status/671771013902827520 …";;;#chennairains #ChennaiFloods;"671772206578294785";https://twitter.com/rafa_rkx/status/671772206578294785
aslam_me;2015-12-02 00:55;0;0;"Gopal (9003096697) can accomodate 5 ppl in Thiruvanmiyur #chennairains #Chennai #chennaifloods #ChennaiRainsHelp @RJ_Balaji @Actor_Siddharth";;@RJ_Balaji @Actor_Siddharth;#chennairains #Chennai #chennaifloods #ChennaiRainsHelp;"671772200765140994";https://twitter.com/aslam_me/status/671772200765140994
i_amspa;2015-12-02 00:55;6;0;"Chennai #Army Helpline is now open!! Call - 9840295100 #SpreadTheWord #chennaiRainsHelp #chennairains #ChennaiFloods";;;#Army #SpreadTheWord #chennaiRainsHelp #chennairains #ChennaiFloods;"671772200224071681";https://twitter.com/i_amspa/status/671772200224071681
suby7765;2015-12-02 00:55;0;0;"பாதுகாப்பான இடத்தில் உள்ள கோவில்... பள்ளிவாசல்... சர்ச்.. போன்றவற்றை திறந்து மக்களுக்கு உதவலாமே.... #ChennaiFloods #cuddalorerains";;;#ChennaiFloods #cuddalorerains;"671772172893884417";https://twitter.com/suby7765/status/671772172893884417
ArunPrat;2015-12-02 00:55;0;0;"Rains hav calmed dwn a bit, get to d nearest hotel/company/aptmt/hosp dnt feel shy 2 ask, safety is d priority #ChennaiRains #ChennaiFloods";;;#ChennaiRains #ChennaiFloods;"671772163888648192";https://twitter.com/ArunPrat/status/671772163888648192
shyam_badbadwal;2015-12-02 00:55;3;0;"God pls show some mercy. We got our lesson &will take steps to protect the environment. #plsdonotraininchennai #chennairains #ChennaiFloods";;;#plsdonotraininchennai #chennairains #ChennaiFloods;"671772155802062848";https://twitter.com/shyam_badbadwal/status/671772155802062848
amritalakshmi1;2015-12-02 00:55;0;0;"People stuck at KK Nagar please contact below number! #chennairains #ChennaiFloods https:// twitter.com/am_venkatesh/s tatus/671769802428387328 …";;;#chennairains #ChennaiFloods;"671772109610328065";https://twitter.com/amritalakshmi1/status/671772109610328065
